proj_unixname	description
carbon-network	This is a P2P network where all the people share data about his efforts to reduce the global warming. Every goverment and NGO will be conected to share his data of carbon levels , and his actions to counteract the problem.
carbon-xemacs	A new Mac OS X/Carbon port of XEmacs 21.  This port makes use of the latest Mac OS X technologies like ATSUI, ATS, and Quartz 2D.  It provides full support for GUI elements such as frames, fonts, colors, mouse, menubar, toolbar, etc.
carbonado	Carbonado is an extensible, high performance persistence abstraction layer for Java applications, providing a relational view to the underlying persistence technology.
carbonas	Carbon AS Community Edition is an enterprise grade open source JEE 5 compliant application server with full support for SOA. Carbon AS CE is a part of Carbon Suite of products.
carboncopy	Carbon Copy is a tool for installing and configuring Linux on a number of roughly identical x86 machines, based on a prototype machine.  CarbonCopy is uses Expect, Etherboot, and root-over-nfs.
carbondev	Carbon, A txtSQL based CMS system that is fully loaded with features.
carbonecar43	An Api for voip in a messenger
carbonfive	This SourceForge.net project serves as repository and distribution point for Carbon Five Open Source software and documentation.
carbonframework	The Carbon Framework is the second generation dependency based application plugin framework derived from the Razor Framework built using the Microsoft .NET 2.0 Framework.
carbongrabber	OpenSource CarbonTrapping project
carbonite	Carbonite is a transactional, persistent object repository for dynamic objects. Apart from the initial setup, all the interaction between Carbonite and the application is done programatically, at runtime. All objects can be modified after creation.
carbonr	This is a php bases dynamic site enabling proxy and many tools for evry one who has problems with their ISP blocking certain sites!!
carbuncle	Project Carbuncle, based on phpnuke, will introduce a new meaning of content management and its presentation form. Most focussing on existing websites that allow to share legal stuff (eg, video&#039;s, music, blogs anything you can come up with).
carbuntu	Automobile GPS, MP3, Bluetooth Cellular, WarDriving multimedia platform based on Ubuntu. Basic purpose Touchscreen driven Car Computer. Solidly based on Ubuntu, Oxine, and RoadNAV.
carbux	This project implements the TransSkel API as a wrapper around GTK. The goal of the project is to be able to compile simple programs written for Carbon with TransSkel as graphical framework under GTK.
carc	Complete Audit Report Center (CARC) is a cross-platform interface to help with the audit of servers, files, and applications.
carcara	Database, Uml and another diagrams modeling tool. It is intend to be a integrated application that synchronize all diagrams with the final product( Databases, Code, Documents ).
carchallenge	Arcade car game made in Shockvawe for the world wide web.
carchipdotnet	This is a .Net wrapper around the CarChipSDK.dll library from Davis Electronics. This allows a .Net application to easily interact with the CarChip.
carconf	Tool for choosing car parts from a database with 3D visualization, cost and security analysis, and optimization algorithms.
card	This will be a game devoted entirely to making a skill-driven card game; details in forums
card304	This is a card game called 304.  304 is very popular in Jaffna (Sri lanka) region.
cardalog	This project will design a data format and several tools to manipulate data related to cataloging sports cards.
cardboard	A Java web application that provides the features and behaviors offered by an Agile story wall.  The application tracks the states of stories, tasks, and bugs from iteration to iteration.
cardcol	Multi-player card games which can be played over a network or against the computer. Contains the games Buraco (from Venezuela), Røvhult (aka Shithead), Sgt. Mayor (aka 3-5-8), Jabberwocky, Twopart (from Norway), Hearts and Machiavelli.
cardgames	Card game engine with modularized game rules, played against an AI.
cardgamesme	CardGamesME is a framework for the easy development of card based games on J2ME enabled devices. It will include a runtime, a rule engine and a network stack for multiplayer card games and a example implementation of a game.
cardinal	The CARDinal is complete project for management of smartcards, devices and communication between smartcard and device. Support various readers implemented into plugin&#039;s API with a simple communication protocol.
cardinalcms	Java based, multisite, multilanguage, easy extensible content managament system. It is served as fast development framework for new sites. Content and functionality delivered by modules, which is mechanism of extendability.
cardkeeper	Card Keeper is a project to create a windows-based program to maintain Magic: The Gathering (c) card collections.
cardkiosk	Magnet Card based authentication kiosk for computer lab login.
cardme	An implementation of RFC 2426 - VCard. This groupware library will provide java applications with a way to read and write vcards from the vcard file format and also to store them in an sql database.
